nama_produk,price,image-src,description
"Sepatu Olahraga Pria 204 DD 013","Rp. 156.000","http://sepatucibaduyut.web.id/toko/5261-5975-home/sepatu-olahraga-pria-204-dd-013.jpg","Bahan : SYNTETIC Ukuran : 39 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 161BIN 745","Rp. 123.000","http://sepatucibaduyut.web.id/toko/3237-3910-home/sepatu-olahraga-pria-161bin-745.jpg","Bahan : Non Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 203 SD 002","Rp. 161.000","http://sepatucibaduyut.web.id/toko/5260-5974-home/sepatu-olahraga-pria-203-sd-002.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 217 TF 079","Rp. 149.000","http://sepatucibaduyut.web.id/toko/5274-5988-home/sepatu-olahraga-pria-217-tf-079.jpg","Bahan : LEATHER Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga R 261","Rp. 205.000","http://sepatucibaduyut.web.id/toko/5582-6295-home/sepatu-olahraga-r-261.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 39 - 43 Warna : HtmOrg Merk : Garsel Shoes"
"Sepatu Olahraga R 314","Rp. 158.000","http://sepatucibaduyut.web.id/toko/5622-6335-home/sepatu-olahraga-r-314.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : Hitam Merk : Garsel Shoes"
"Olahraga Pria 685 617-01","Rp. 163.000","http://sepatucibaduyut.web.id/toko/6292-7023-home/olahraga-pria-685-617-01.jpg","Bahan : Synt Sol : TPR Ukuran : 38 - 43 Warna : Merah Kombinasi Merk : Azzurra"
"Sepatu Olahraga R 266","Rp. 239.000","http://sepatucibaduyut.web.id/toko/5587-6300-home/sepatu-olahraga-r-266.jpg","Bahan : PU-PVC Sol : Pylon Ukuran : 38 - 43 Warna : HtmMrh Merk : Garsel Shoes"
"Sepatu Olahraga R 268","Rp. 182.000","http://sepatucibaduyut.web.id/toko/5589-6302-home/sepatu-olahraga-r-268.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : PthMrh Merk : Garsel Shoes"
"Sepatu Olahraga R 267","Rp. 182.000","http://sepatucibaduyut.web.id/toko/5588-6301-home/sepatu-olahraga-r-267.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : HtmMas Merk : Garsel Shoes"
"Sepatu Olahraga Pria 152BEN 914","Rp. 144.000","http://sepatucibaduyut.web.id/toko/3228-3901-home/sepatu-olahraga-pria-152ben-914.jpg","Bahan : Non Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 174BMB 409","Rp. 126.000","http://sepatucibaduyut.web.id/toko/3248-3920-home/sepatu-olahraga-pria-174bmb-409.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 212 NS 051","Rp. 165.000","http://sepatucibaduyut.web.id/toko/5269-5983-home/sepatu-olahraga-pria-212-ns-051.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga R 295","Rp. 164.000","http://sepatucibaduyut.web.id/toko/5610-6323-home/sepatu-olahraga-r-295.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : BirKom Merk : Garsel Shoes"
"Sepatu Olahraga R 311","Rp. 236.000","http://sepatucibaduyut.web.id/toko/5618-6331-home/sepatu-olahraga-r-311.jpg","Bahan : PU-PVC Sol : Pylon Ukuran : 39 - 44 Warna : AbuKom Merk : Garsel Shoes"
"Sepatu Olahraga R 298","Rp. 174.000","http://sepatucibaduyut.web.id/toko/5615-6328-home/sepatu-olahraga-r-298.jpg","Bahan : Kulit Sol : TPR Ukuran : 38 - 43 Warna : PthKom Merk : Garsel Shoes"
"Sepatu Olahraga R 294","Rp. 169.000","http://sepatucibaduyut.web.id/toko/5608-6321-home/sepatu-olahraga-r-294.jpg","Bahan : PU-PVC Sol : TPR Ukuran : 38 - 43 Warna : PthBiru Merk : Garsel Shoes"
"Sepatu Olahraga Pria 210 TF 090","Rp. 177.000","http://sepatucibaduyut.web.id/toko/5267-5981-home/sepatu-olahraga-pria-210-tf-090.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 171BSN 203","Rp. 150.000","http://sepatucibaduyut.web.id/toko/3244-3917-home/sepatu-olahraga-pria-171bsn-203.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 151BEN 349","Rp. 146.000","http://sepatucibaduyut.web.id/toko/3227-3900-home/sepatu-olahraga-pria-151ben-349.jpg","Bahan : Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 148BEN 915","Rp. 146.000","http://sepatucibaduyut.web.id/toko/3224-3897-home/sepatu-olahraga-pria-148ben-915.jpg","Bahan : Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 193BEN 078","Rp. 14.400","http://sepatucibaduyut.web.id/toko/3251-3923-home/sepatu-olahraga-pria-193ben-078.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga R 265","Rp. 201.000","http://sepatucibaduyut.web.id/toko/5586-6299-home/sepatu-olahraga-r-265.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 39 - 43 Warna : PthMrh Merk : Garsel Shoes"
"Sepatu Olahraga Pria 159BRM 531","Rp. 136.000","http://sepatucibaduyut.web.id/toko/3235-3908-home/sepatu-olahraga-pria-159brm-531.jpg","Bahan : Non Kulit Ukuran : 38 - 42 Produk : BSM SOGA"
